epoch,lr-Adam,step,train_acc,train_loss,val_acc,val_loss
,0.0003,0,,,,
0,,10746,,,0.33475440740585327,91.9606704711914
0,,10746,0.6348333358764648,0.6087390184402466,,
,0.0003,10747,,,,
1,,21493,,,0.33475440740585327,95.58655548095703
1,,21493,0.6588411331176758,0.534520149230957,,
,0.0003,21494,,,,
2,,32240,,,0.33482804894447327,48.54638671875
2,,32240,0.6681992411613464,0.5188015699386597,,
,0.0003,32241,,,,
3,,42987,,,0.3319394290447235,37.72636032104492
3,,42987,0.6769272089004517,0.5103898048400879,,
,0.0003,42988,,,,
4,,53734,,,0.3323649764060974,39.34618377685547
4,,53734,0.6854090094566345,0.5037640333175659,,
